id,country,city,latitude,longitude,altitude
"1","Afghanistan","kabul","34.5166667","69.1833344","1808.0"
"2","Afghanistan","kandahar","31.6100000","65.6999969","1015.0"
"3","Afghanistan","mazar-e sharif","36.7069444","67.1122208","369.0"
"4","Afghanistan","herat","34.3400000","62.1899986","927.0"
"5","Afghanistan","jalalabad","34.4200000","70.4499969","573.0"
"6","Afghanistan","konduz","36.7200000","68.8600006","394.0"
"7","Afghanistan","ghazni","33.5535554","68.4268875","2175.0"
"8","Afghanistan","balkh","36.7586111","66.8961105","328.0"
"9","Afghanistan","baghlan","36.1200000","68.6999969","565.0"
"10","Afghanistan","gardez","33.5900000","69.2200012","2279.0"
"11","Afghanistan","khost","33.3380556","69.9202805","1178.0"
"12","Afghanistan","khanabad","36.6800000","69.1100006","490.0"
"13","Afghanistan","tashqorghan","36.6952778","67.6980591","460.0"
"14","Afghanistan","taloqan","36.7360511","69.5345078","788.0"
"15","Afghanistan","cool urhajo","34.2654452","67.3451614","2733.0"
"16","Afghanistan","pol-e khomri","35.9425000","68.7191696","832.0"
"17","Afghanistan","sheberghan","36.6672222","65.7536087","362.0"
"18","Afghanistan","charikar","35.0136110","69.1713867","1534.0"
"19","Afghanistan","sar-e pol","36.2155556","65.9363861","629.0"
"20","Afghanistan","paghman","34.5875000","68.9533310","2276.0"
"21","Afghanistan","samangan","36.2652778","68.0166702","960.0"
"22","Afghanistan","nawab city","31.5800000","64.3600006","775.0"
"23","Afghanistan","gereshk","31.8188889","64.5647202","844.0"
"24","Afghanistan","farakh","32.3700000","62.1100006","653.0"
"25","Afghanistan","feyzabad","37.1175000","70.5797195","1235.0"
"26","Afghanistan","sindand","33.3000000","62.1399994","1071.0"
"27","Afghanistan","andkhvoy","36.9525000","65.1236115","319.0"
"28","Afghanistan","rostaq","37.1275000","69.8305588","1323.0"
"29","Afghanistan","qaravol","37.2211111","68.7799988","327.0"
"30","Afghanistan","nahrin","36.0652778","69.1338882","1156.0"
"31","Afghanistan","baraki barak","33.9675000","68.9486084","1937.0"
"32","Afghanistan","at khvajeh","37.0841667","69.4805527","474.0"
"33","Afghanistan","eslam qal`eh","34.6666667","61.0666656","721.0"
"34","Afghanistan","karokh","34.4791667","62.5869446","1309.0"
"35","Afghanistan","mehtar lam","34.6713889","70.2094421","768.0"
"36","Afghanistan","kushk","33.2961111","61.9527779","1126.0"
"37","Afghanistan","shahrag","34.1083333","64.3033371","2393.0"
"38","Afghanistan","asmar","35.0300000","71.3499985","934.0"
"39","Afghanistan","sang-e charak","35.8497222","66.4369431","1547.0"
"40","Afghanistan","khash","31.5291667","62.7924995","578.0"
"41","Afghanistan","achin","34.1200000","70.6999969","997.0"
"42","Afghanistan","jabal os saraj","35.1183330","69.2377777","1575.0"
"43","Afghanistan","qarqin","37.4127778","66.0472260","250.0"
"44","Afghanistan","mirabad","30.4352778","61.8347206","499.0"
"45","Afghanistan","zarghun shahr","32.8472222","68.4458313","2114.0"
"46","Afghanistan","sangin","32.0733333","64.8338852","892.0"
"47","Afghanistan","panjab","34.3875000","67.0233307","2707.0"
"48","Afghanistan","uruzgan","32.9200000","66.6299973","2010.0"
"49","Afghanistan","pul-i-alam","33.9800000","69.0299988","1916.0"
"50","Afghanistan","chiras","35.4166667","65.9833298","2828.0"
"51","Afghanistan","hokumati azraw","34.1700000","69.6399994","2278.0"
"52","Afghanistan","qareh bagh","34.9405556","61.7775002","950.0"
"53","Afghanistan","kalat-i-ghilzai","32.1000000","66.9100037","1535.0"
"54","Afghanistan","ashkasham","36.6833333","71.5333328","3037.0"
"55","Afghanistan","jorm","36.8666667","70.8344421","1508.0"
"56","Afghanistan","kuhestan","34.6538889","61.1977768","734.0"
"57","Afghanistan","tokzar","35.9488889","66.4199982","1253.0"
"58","Afghanistan","char burj","34.2400000","62.1899986","967.0"
"59","Afghanistan","lar gerd","35.4897222","66.6636124","1867.0"
"60","Afghanistan","rudbar","30.1500000","62.5999985","573.0"
"61","Afghanistan","farkhar","36.5722222","69.8580551","1135.0"
"62","Afghanistan","zendeh jan","34.3455556","61.7316666","844.0"
"63","Afghanistan","anar darreh","32.7622222","61.6525002","801.0"
"64","Afghanistan","emam saheb","37.1822222","68.9124985","340.0"
"65","Afghanistan","darzab","35.9783333","65.3791656","1224.0"
"66","Afghanistan","`alaqehdari deh-e shu","30.4347222","63.3072205","584.0"
"67","Afghanistan","tagow bay","35.7016667","66.0613861","1845.0"
"68","Afghanistan","darvishan","31.1333333","64.1924973","719.0"
"69","Afghanistan","qarchi gak","37.0355556","66.7888870","298.0"
"70","Afghanistan","dasht-e archi","37.1333333","69.1666641","372.0"
"71","Afghanistan","qal`eh shahr","35.5483333","65.5677795","2159.0"
"72","Afghanistan","zareh sharan","33.1466667","68.7916641","2141.0"
"73","Afghanistan","tir pol","34.5952778","61.2669449","768.0"
"74","Afghanistan","mohmand darrah","34.2400000","70.8700027","481.0"
"75","Afghanistan","yengi qal`eh","37.4672222","69.6091690","481.0"
"76","Afghanistan","tagao","34.8500000","69.6399994","1453.0"
"77","Afghanistan","khandud","36.9488889","72.3169479","2918.0"
"78","Afghanistan","mir bachcheh kowt","34.7488889","69.1191635","1691.0"
"79","Afghanistan","dorufchah","36.4397222","70.0838852","4290.0"
"80","Afghanistan","dahaneh-ye ghowri","35.9075000","68.4938889","758.0"
"81","Afghanistan","lab-sar","36.0261111","66.8386078","1043.0"
"82","Afghanistan","darwazkay","35.0200000","71.0400009","2508.0"
"83","Afghanistan","munay","34.9800000","71.2500000","995.0"
"84","Afghanistan","mulkanah","34.9400000","71.0599976","1181.0"
"85","Albania","tirana","41.3275000","19.8188896","103.0"
"86","Albania","durres","41.3230556","19.4413891","-9999.0"
"87","Albania","elbasan","41.1125000","20.0822220","126.0"
"88","Albania","vlore","40.4666667","19.4897213","58.0"
"89","Albania","shkoder","42.0682829","19.5125771","17.0"
"90","Albania","fier-cifci","40.7166667","19.5666676","7.0"
"91","Albania","korce","40.6186111","20.7808342","876.0"
"92","Albania","berat","40.7058333","19.9522228","69.0"
"93","Albania","lushnje","40.9419444","19.7049999","81.0"
"94","Albania","kavaje","41.1855556","19.5569439","10.0"
"95","Albania","lac","41.6355556","19.7130547","89.0"
"96","Albania","gjirokaster","40.0758333","20.1388893","213.0"
"97","Albania","patos fshat","40.6427778","19.6508331","118.0"
"98","Albania","kruje","41.5091667","19.7927780","870.0"
"99","Albania","lezhe","41.7836111","19.6436119","82.0"
"100","Albania","kucove","40.8002778","19.9166660","95.0"
"101","Albania","kukes","42.0769444","20.4219437","339.0"
"102","Albania","burrel","41.6102778","20.0088882","196.0"
"103","Albania","sarande","39.8755556","20.0052776","170.0"
"104","Albania","peshkopi","41.6850000","20.4288883","718.0"
"105","Albania","cerrik","41.0316667","19.9758339","70.0"
"106","Albania","shijak","41.3455556","19.5672226","57.0"
"107","Albania","corovode","40.5041667","20.2272224","539.0"
"108","Albania","librazhd-qender","41.1969444","20.3355560","436.0"
"109","Albania","tepelene","40.2958333","20.0191669","112.0"
"110","Albania","gramsh","40.8697222","20.1844444","342.0"
"111","Albania","bulqize","41.4916667","20.2219448","729.0"
"112","Albania","kamez","41.3816667","19.7602787","73.0"
"113","Albania","permet","40.2336111","20.3516674","281.0"
"114","Albania","polican","40.6122222","20.0980549","407.0"
"115","Albania","fushe-kruje","41.4783333","19.7177773","41.0"
"116","Albania","ballsh","40.5988889","19.7347221","232.0"
"117","Albania","rreshen","41.7675000","19.8755550","129.0"
"118","Albania","mamurras","41.5775000","19.6922226","79.0"
"119","Albania","bajram curri","42.3572222","20.0730553","313.0"
"120","Albania","erseke","40.3377778","20.6788883","1024.0"
"121","Albania","peqin","41.0461111","19.7511120","37.0"
"122","Albania","bilisht","40.6275000","20.9899998","946.0"
"123","Albania","selenice","40.5305556","19.6358337","113.0"
"124","Albania","roskovec","40.7375000","19.7022228","24.0"
"125","Albania","puke","42.0444444","19.8997231","795.0"
"126","Albania","rrogozhine","41.0763889","19.6652775","48.0"
"127","Albania","vore","41.3908333","19.6550007","74.0"
"128","Albania","memaliaj","40.3516667","19.9802780","141.0"
"129","Albania","ura vajgurore","40.7688889","19.8777771","30.0"
"130","Albania","himare","40.1016667","19.7447224","60.0"
"131","Albania","koplik","42.2136111","19.4363880","71.0"
"132","Albania","perrenjas-fshat","41.0666667","20.5352783","562.0"
"133","Albania","delvine","39.9511111","20.0977783","255.0"
"134","Albania","maliq","40.7058333","20.6997223","824.0"
"135","Albania","libohove","40.0311111","20.2630558","536.0"
"136","Albania","shengjin","41.8136111","19.5938892","-9999.0"
"137","Albania","leskovik","40.1513889","20.5972214","908.0"
"138","Albania","orikum","40.3252778","19.4713898","8.0"
"139","Albania","kelcyre","40.3130556","20.1894436","171.0"
"140","Albania","fushe-arrez","42.0622222","20.0166664","590.0"
"141","Albania","rubik","41.7744444","19.7861118","262.0"
"142","Albania","milot","41.6838889","19.7155552","49.0"
"143","Albania","kurbnesh","41.7797222","20.0836105","833.0"
"144","Albania","konispol","39.6588889","20.1813889","478.0"
"145","Albania","krrabe","41.2155556","19.9713898","542.0"
"146","Albania","fierze","42.2647222","20.0269451","474.0"
"147","Albania","klos","41.5069444","20.0866661","275.0"
"148","Albania","kutreq","41.3966667","19.9616661","524.0"
"149","Albania","collak","41.3152778","19.8661118","217.0"
"150","Albania","ballaj","41.3222222","19.8802776","276.0"
"151","Albania","kubes","41.4166667","19.8511105","573.0"
"152","Albania","kurte","41.4930556","19.9972229","1328.0"
"153","Albania","melcize","41.3952778","19.8222218","130.0"
"154","Albania","livadhet","41.4080556","19.9047222","395.0"
"155","Albania","gurra e vogel","41.2863889","19.8883324","240.0"
"156","Albania","celiku","41.2761111","19.8522224","157.0"
"157","Albania","kamere","41.4719444","19.9708328","1286.0"
"158","Albania","mal pjec","41.4786111","19.9547215","1155.0"
"159","Albania","dallashi","41.2830556","19.8763885","241.0"
"160","Albania","shejleret","41.3072222","19.8858337","253.0"
"161","Albania","kokli","41.3091667","19.9286118","665.0"
"162","Albania","shugyrk","41.4400000","19.9302769","429.0"
"163","Albania","metaj","41.4933333","19.9052773","695.0"
"164","Albania","marice","41.4216667","19.9591675","585.0"
"165","Albania","panec","41.2847222","20.0063896","516.0"
"166","Albania","balajt e poshtem","41.4205556","20.1397228","1080.0"
"167","Albania","blishte","41.4430556","20.1466675","613.0"
"168","Albania","shengjun","41.4891667","20.1375008","577.0"
"169","Albania","rucaj","41.4661111","20.1555557","815.0"
"170","Albania","kotaj","41.4333333","20.2008324","1102.0"
"171","Albania","peshk","41.4055556","20.1980553","829.0"
"172","Albania","bize","41.3408333","20.1980553","1314.0"
"173","Albania","berberaj","41.3144444","20.2027779","1087.0"
"174","Albania","panjet","41.3208333","20.1561108","1323.0"
"175","Albania","ruc","41.3219444","20.1105556","912.0"
